1	0.016229
/proc/5310/stat	Could not be opened
/proc/5311/stat	Could not be opened
/proc/5311/stat	Could not be opened
/proc/5365/stat	Could not be opened
/proc/5365/stat	Could not be opened
/proc/5366/stat	Could not be opened
/proc/5366/stat	Could not be opened
/proc/5367/stat	Could not be opened
/proc/5367/stat	Could not be opened
/proc/5419/stat	Could not be opened
/proc/5419/stat	Could not be opened
/proc/5420/stat	Could not be opened
/proc/5420/stat	Could not be opened
/proc/5421/stat	Could not be opened
/proc/5421/stat	Could not be opened
/proc/5477/stat	Could not be opened
/proc/5477/stat	Could not be opened
/proc/5478/stat	Could not be opened
/proc/5478/stat	Could not be opened
/proc/5479/stat	Could not be opened
/proc/5479/stat	Could not be opened
/proc/5517/stat	Could not be opened
/proc/5517/stat	Could not be opened
/proc/5518/stat	Could not be opened
/proc/5518/stat	Could not be opened
/proc/5519/stat	Could not be opened
/proc/5519/stat	Could not be opened
/proc/5553/stat	Could not be opened
/proc/5553/stat	Could not be opened
/proc/5554/stat	Could not be opened
/proc/5554/stat	Could not be opened
/proc/5555/stat	Could not be opened
/proc/5555/stat	Could not be opened
/proc/5607/stat	Could not be opened
/proc/5607/stat	Could not be opened
/proc/5608/stat	Could not be opened
/proc/5608/stat	Could not be opened
/proc/5609/stat	Could not be opened
/proc/5609/stat	Could not be opened
/proc/5661/stat	Could not be opened
/proc/5661/stat	Could not be opened
/proc/5662/stat	Could not be opened
/proc/5662/stat	Could not be opened
/proc/5663/stat	Could not be opened
/proc/5663/stat	Could not be opened
/proc/5697/stat	Could not be opened
/proc/5697/stat	Could not be opened
/proc/5698/stat	Could not be opened
/proc/5698/stat	Could not be opened
/proc/5699/stat	Could not be opened
/proc/5699/stat	Could not be opened
/proc/5771/stat	Could not be opened
/proc/5771/stat	Could not be opened
/proc/5772/stat	Could not be opened
/proc/5772/stat	Could not be opened
/proc/5773/stat	Could not be opened
/proc/5773/stat	Could not be opened
/proc/5828/stat	Could not be opened
/proc/5828/stat	Could not be opened
/proc/5829/stat	Could not be opened
/proc/5829/stat	Could not be opened
/proc/5830/stat	Could not be opened
/proc/5830/stat	Could not be opened
/proc/5928/stat	Could not be opened
/proc/5928/stat	Could not be opened
/proc/5929/stat	Could not be opened
/proc/5929/stat	Could not be opened
/proc/5930/stat	Could not be opened
/proc/5930/stat	Could not be opened
/proc/5964/stat	Could not be opened
/proc/5964/stat	Could not be opened
/proc/5965/stat	Could not be opened
/proc/5965/stat	Could not be opened
/proc/5966/stat	Could not be opened
/proc/5966/stat	Could not be opened
/proc/6000/stat	Could not be opened
/proc/6000/stat	Could not be opened
/proc/6001/stat	Could not be opened
/proc/6001/stat	Could not be opened
/proc/6002/stat	Could not be opened
/proc/6002/stat	Could not be opened
